1;Cluj;Bucuresti;2021-01-05T15:00:00.000;2021-01-05T15:30:00.000;100
2;Cluj;Bucuresti;2021-01-05T15:30:00.000;2021-01-05T16:00:00.000;50
3;Bucuresti;Cluj;2021-01-05T17:00:00.000;2021-01-05T18:00:00.000;100
4;Bucuresti;Cluj;2021-01-05T19:00:00.000;2021-01-05T20:00:00.000;50
5;Cluj;Timisoara;2021-01-10T15:00:00.000;2021-01-10T16:00:00.000;200
6;Bucuresti;Timisoara;2021-01-10T17:00:00.000;2021-01-10T18:00:00.000;1000
7;Bucuresti;Timisoara;2021-01-10T19:00:00.000;2021-01-10T20:00:00.000;200
8;Cluj;Iasi;2021-01-15T15:00:00.000;2021-01-15T16:00:00.000;1000
9;Iasi;Bucuresti;2021-01-15T17:00:00.000;2021-01-15T18:00:00.000;100
10;Iasi;Bucuresti;2021-01-15T19:00:00.000;2021-01-15T20:00:00.000;50
11;Iasi;Timisoara;2021-01-20T15:00:00.000;2021-01-20T16:00:00.000;100
12;Bucuresti;Iasi;2021-01-20T17:00:00.000;2021-01-20T18:00:00.000;50
13;Cluj;Bucuresti;2021-01-05T15:30:00.000;2021-01-05T16:00:00.000;50
14;Cluj;Bucuresti;2021-01-05T15:30:00.000;2021-01-05T16:00:00.000;50
15;Cluj;Bucuresti;2021-01-05T15:30:00.000;2021-01-05T16:00:00.000;50
16;Cluj;Bucuresti;2021-01-05T15:30:00.000;2021-01-05T16:00:00.000;50
17;Cluj;Bucuresti;2021-01-05T15:30:00.000;2021-01-05T16:00:00.000;50
18;Oradea;Constanta;2021-01-05T15:30:00.000;2021-01-05T16:00:00.000;50
